mouse_n,group_no,group_assignment,inoculation_batch,sample_mass_mg,date_nuc_prep,incubation_time_hrs
918310,1,group_RML_60,BATCH4,246,250506,19.0
917423,19,group_22L_120,BATCH3,207,250506,19.67
918309,4,group_CBH_60,BATCH4,240,250507,16.92
916462,1,group_RML_60,BATCH1,248,250508,18.5
918277,9,group_RML_90,BATCH4,220,250508,18.98
917432,17,group_RML_120,BATCH3,245,250512,19.0
918304,2,group_ME7_60,BATCH4,237,250512,19.33
918279,10,group_ME7_90,BATCH4,255,250513,17.83
916466,3,group_22L_60,BATCH1,251,250514,18.67
916440,18,group_ME7_120,BATCH1,250,250514,19.25
918293,12,group_CBH_90,BATCH4,267,250515,17.45
916504,10,group_ME7_90,BATCH2,242,250519,18.83
918289,2,group_ME7_60,BATCH4,219,250519,19.17
918280,12,group_CBH_90,BATCH4,208,250520,17.17
918302,1,group_RML_60,BATCH4,270,250521,18.0
918296,4,group_CBH_60,BATCH4,200,250521,18.67
917444,18,group_ME7_120,BATCH3,252,250522,16.75
916500,17,group_RML_120,BATCH2,211,250522,18.28
918261,10,group_ME7_90,BATCH4,255,250528,18.92
918264,11,group_22L_90,BATCH4,224,250528,19.28
918276,18,group_ME7_120,BATCH4,240,250529,17.47
918274,3,group_22L_60,BATCH4,241,250529,18.07
918291,10,group_ME7_90,BATCH4,238,250602,19.23
917461,12,group_CBH_90,BATCH3,229,250602,19.78
918263,20,group_CBH_120,BATCH4,235,250603,17.6
916525,2,group_ME7_60,BATCH2,209,250603,17.58
916507,18,group_ME7_120,BATCH2,235,250604,19.2
916439,12,group_CBH_90,BATCH1,252,250604,19.38
916458,10,group_ME7_90,BATCH1,241,250610,18.9
918285,12,group_CBH_90,BATCH4,284,250610,19.63
918287,20,group_CBH_120,BATCH4,251,250611,18.42
916459,4,group_CBH_60,BATCH1,200,250611,18.67
918270,18,group_ME7_120,BATCH4,252,250612,17.52
916534,9,group_RML_90,BATCH2,213,250612,17.85
918271,11,group_22L_90,BATCH4,232,250616,19.83
916510,3,group_22L_60,BATCH2,242,250616,19.95
918269,19,group_22L_120,BATCH4,232,250617,17.58
918273,1,group_RML_60,BATCH4,179,250617,17.57
918284,3,group_22L_60,BATCH4,235,250618,18.9
917430,11,group_22L_90,BATCH3,207,250618,19.53
917442,2,group_ME7_60,BATCH3,248,250619,18.67
918267,18,group_ME7_120,BATCH4,234,250619,19.03
916486,2,group_ME7_60,BATCH1,241,250625,18.8
916445,11,group_22L_90,BATCH1,220,250625,19.33
916495,20,group_CBH_120,BATCH1,270,250626,18.78
918286,17,group_RML_120,BATCH4,197,250626,19.0
918266,20,group_CBH_120,BATCH4,254,250630,19.05
918268,3,group_22L_60,BATCH4,224,250630,19.73
918272,9,group_RML_90,BATCH4,215,250701,17.47
918281,11,group_22L_90,BATCH4,285,250701,17.77
916554,9,group_RML_90,BATCH2,262,250714,17.93
916477,17,group_RML_120,BATCH1,212,250715,17.52
916470,9,group_RML_90,BATCH1,281,250715,17.65
916515,19,group_22L_120,BATCH2,250,250714,18.0
918275,19,group_22L_120,BATCH4,212,250716,18.17
918311,2,group_ME7_60,BATCH4,189,250716,18.72
917447,10,group_ME7_90,BATCH3,237,250723,17.97
917425,20,group_CBH_120,BATCH3,238,250723,18.05
918262,19,group_22L_120,BATCH4,228,250807,17.72
916501,11,group_22L_90,BATCH2,245,250807,17.93
918288,9,group_RML_90,BATCH4,300,250811,20.12
916476,12,group_CBH_90,BATCH1,257,250811,20.38
916524,20,group_CBH_120,BATCH2,219,250812,18.7
916543,1,group_RML_60,BATCH2,203,250812,19.0
918283,17,group_RML_120,BATCH4,240,250813,16.73
918282,4,group_CBH_60,BATCH4,212,250813,17.25
917422,1,group_RML_60,BATCH3,252,250819,19.02
918318,4,group_CBH_60,BATCH4,221,250819,19.48
917440,4,group_CBH_60,BATCH3,254,250820,18.8
916468,19,group_22L_120,BATCH1,243,250820,19.43
917445,3,group_22L_60,BATCH3,294,250821,22.62
918278,17,group_RML_120,BATCH4,215,250821,18.08
